,ID_REF,GSM4030288,GSM4030289,GSM4030290,GSM4030291,GSM4030292,GSM4030293,GSM4030294
19636,17351407,3.5917199999999996,3.5907699999999996,3.53735,3.86089,3.6630000000000003,3.40844,3.39869
19637,17351414,5.99564,7.31192,7.156460000000001,7.56118,6.502669999999999,8.17854,7.85146
19638,17351420,4.30627,4.5048699999999995,4.1182099999999995,4.6894800000000005,4.2853,3.96936,4.3457
19639,17351424,3.96619,3.9680800000000005,4.18431,4.28487,3.3976599999999997,3.8946,3.84625
19640,17351426,3.7698099999999997,3.29834,3.69383,4.18489,4.07191,3.86116,3.7478800000000003
19641,17351444,8.068999999999999,8.05833,8.1666,8.34282,8.00791,7.9065199999999995,7.828139999999999
19642,17351446,6.23272,5.46264,5.56383,5.7563699999999995,5.600140000000001,5.50734,5.54597
19643,17351457,4.60154,4.493119999999999,4.62798,4.48693,4.182869999999999,4.292619999999999,4.52769
19644,17351465,7.23503,8.165519999999999,6.8970199999999995,8.50699,8.76918,7.92048,8.58263
19645,17351471,4.1236,4.41796,4.6007,4.41796,4.6310199999999995,4.4191,4.85949
19646,17351473,6.404730000000001,7.24251,7.7719,5.86739,7.2537,7.40218,7.8246899999999995
19647,17351482,5.2733099999999995,4.8412,4.90404,5.2141,5.2828800000000005,4.793,5.1418800000000005
19648,17351485,8.49196,8.276589999999999,7.93429,8.332360000000001,8.223239999999999,8.0019,8.17453
19649,17351497,9.44855,10.0306,9.99165,10.2317,10.2988,9.93268,10.1274
19650,17351509,4.145630000000001,3.13576,3.79604,4.02806,4.04213,4.05921,4.38056
19651,17351511,9.30151,9.00649,9.14945,9.06065,8.9571,8.83198,8.90055
19652,17351559,7.54787,7.49478,7.64083,6.53187,8.13752,7.521789999999999,7.6241699999999994
19653,17351569,7.5296899999999996,7.937239999999999,7.751110000000001,8.27016,7.84392,7.65338,7.798769999999999
19654,17351587,4.7607099999999996,5.25461,5.247730000000001,5.77761,5.59954,4.8125800000000005,4.795
19655,17351591,5.4919400000000005,5.62688,5.57784,5.72256,5.5768,5.3881,5.173030000000001
19656,17351594,8.33082,8.33349,8.10855,8.4866,8.61918,8.28156,8.76073
19657,17351625,5.37225,5.4968,5.59535,5.81947,5.91159,5.36112,5.51598
19658,17351627,4.92561,5.002680000000001,5.16076,4.94043,5.13742,4.95865,5.05138
19659,17351634,4.59037,3.36111,3.76895,4.0475,3.59268,3.86882,3.99721
19660,17351652,2.46982,2.44158,2.29643,2.25712,2.8087,2.53329,2.4565200000000003
19661,17351655,6.76215,6.16036,6.0496,5.93688,5.78342,5.7711,6.44868
19662,17351668,7.884689999999999,7.936660000000001,7.80708,7.8147,8.04192,7.75695,7.940869999999999
19663,17351681,9.50004,9.307910000000001,9.2958,9.93887,9.27078,8.97518,9.222760000000001
19664,17351685,1.8817,1.5049700000000001,1.96748,1.71305,1.5576,1.89955,1.67785
19665,17351687,3.96516,3.8965099999999997,3.85793,3.96959,3.8439300000000003,4.02424,3.6404
19666,17351700,5.40107,5.25966,5.381959999999999,5.48787,5.79439,5.17405,5.4069400000000005
19667,17351704,4.06206,4.63314,3.5535300000000003,4.61214,4.58603,4.169490000000001,4.00898
19668,17351706,2.21285,2.10917,1.68658,1.901,2.46093,2.2121299999999997,2.4197
19669,17351708,8.22065,8.30914,7.88611,8.118689999999999,7.89895,8.0978,8.19051
19670,17351726,7.89305,7.94928,7.49943,7.7462100000000005,7.5312600000000005,7.81952,7.903689999999999
19671,17351747,6.09825,4.80286,4.3551,4.45958,4.88797,4.5389,4.696330000000001
19672,17351760,4.6281099999999995,4.86137,4.4547099999999995,4.53644,4.84017,4.33531,4.48187
19673,17351811,6.971419999999999,8.68432,7.70098,7.392869999999999,7.64577,7.83401,7.805619999999999
19674,17351822,7.24729,6.735310000000001,6.8695699999999995,6.97585,6.43649,6.772689999999999,6.72359
19675,17351831,10.7149,11.089,10.26,11.4436,10.1236,9.75285,9.23318
19676,17351833,11.1932,11.482999999999999,11.1886,11.8038,10.9637,10.4689,10.1498
19677,17351835,9.93449,9.99573,9.70727,10.2675,9.44249,9.20871,8.91109
19678,17351837,8.59216,9.04906,8.46143,8.58216,8.36073,8.5707,8.30872
19679,17351838,9.060939999999999,9.05076,8.56252,8.8581,8.28487,8.33562,8.322189999999999
19680,17351839,9.08225,9.64482,8.9226,9.09075,8.77025,8.85674,8.81592
19681,17351840,8.34368,9.36215,8.45223,8.28177,8.54266,8.89414,8.20324
19682,17351841,7.5778,8.0609,7.361439999999999,7.5784,7.574039999999999,7.64623,7.22691
19683,17351842,8.30691,8.002839999999999,7.736260000000001,7.52008,6.991060000000001,7.25598,7.716819999999999
19684,17351862,6.569039999999999,6.70873,6.16409,6.31343,6.07974,6.2302599999999995,6.40796
19685,17351873,4.82284,4.83699,4.9474,4.98959,4.7693900000000005,4.77717,4.8694
19686,17351878,5.260269999999999,5.287030000000001,4.829330000000001,5.20678,5.10919,5.0687,4.99455
19687,17351886,9.59009,9.12572,8.8378,9.72851,9.30838,8.96738,9.07651
19688,17351902,2.48225,2.83347,2.91436,2.93397,2.63492,2.57267,2.64086
19689,17351913,8.27081,7.90758,7.54767,7.87522,7.69959,7.6370000000000005,7.74898
19690,17351919,8.0838,7.307119999999999,7.1794,7.26012,7.197360000000001,7.2906699999999995,7.508260000000001
19691,17351932,10.3531,9.94643,9.68547,9.848930000000001,9.66717,9.92804,9.8642
19692,17351952,5.04216,5.0589699999999995,4.993130000000001,5.2828,4.84607,4.7950800000000005,4.8712
19693,17351963,4.75442,5.14689,4.76553,4.9494,4.8993400000000005,5.07903,4.95694
