Gene_ID	binary
54951	0
3956	0
3983	0
22917	0
23779	0
7919	0
55666	0
5170	0
54971	0
1176	0
139599	0
55355	0
583	0
4072	0
22888	0
4281	0
56034	0
11186	0
155465	0
5585	0
121506	0
283991	0
339324	0
343099	0
3249	0
4033	0
3489	0
4507	0
7593	0
29015	0
11130	0
83658	0
10683	0
747	0
138065	0
65109	0
2307	0
163071	0
91607	0
27230	0
51070	0
22950	0
6256	0
6692	0
79071	0
2026	0
8225	0
55954	0
7621	0
200959	0
445	0
127845	0
5976	0
255104	0
210	0
7152	0
5118	0
8905	0
143630	0
728229	0
1525	0
64116	0
10855	0
7498	0
55753	0
7804	0
57724	0
54472	0
4126	0
27333	0
81614	0
923	0
201158	0
84059	0
4815	0
687	0
84912	0
159963	0
80700	0
54997	0
29842	0
8087	0
56654	0
2706	0
5937	0
29855	0
7512	0
6046	0
57817	0
501	0
80218	0
2534	0
3670	0
57820	0
22934	0
8431	0
284111	0
55770	0
10466	0
55038	0
23203	0
11033	0
5991	0
230	0
65109	0
6548	0
55765	0
4602	0
151126	0
9100	0
-	0
1465	0
-	0
2888	0
57132	0
5349	0
3428	0
9189	0
6183	0
477	0
8540	0
558	0
419	0
2823	0
27242	0
5564	0
