Gene Symbol	Gene ID	
PPP1R13B	23368	
PCDHA3	56145	
ALDH4A1	8659	
FHL2	2274	
DNAJA3	9093	
WDPCP	51057	
NSUN5P2	260294	
GADD45A	1647	
COASY	80347	
SPTBN2	6712	
GPAM	57678	
TMEM213	155006	
DHX9	1660	
FERMT2	10979	
C19orf18	147685	
CANX	821	
ADGRE5	976	
ERVV-1	147664	
TRIM10	10107	
ABHD12B	145447	
PRR3	80742	
SCD5	79966	
FDFT1	2222	
RUNDC3B	154661	
ATP6AP1	537	
CD40	958	
HERC3	8916	
KDELR3	11015	
TTC9B	148014	
NDRG4	65009	
TBC1D2	55357	
KRT17	3872	
RNF217	154214	
BHLHE41	79365	
KRR1	11103	
TMEM120A	83862	
C10orf54	64115	
TPGS2	25941	
REPS2	9185	
TCF19	6941	
CD200	4345	
PNPLA2	57104	
GFPT1	2673	
CGN	57530	
POGLUT1	56983	
ZNF598	90850	
RAB11FIP4	84440	
NEDD9	4739	
AES	-	
UBAP2	55833	
VAMP3	9341	
CCT3	7203	
BCL7C	9274	
PDS5B	23047	
KCNAB3	9196	
HIVEP3	59269	
SLC3A1	6519	
TRIM15	89870	
NFKBIE	4794	
UBL5	59286	
GPATCH4	54865	
PIGY	84992	
BAIAP3	8938	
HPS5	11234	
RNLS	55328	
SYNJ1	8867	
SLC12A8	84561	
LIPC	3990	
DPYSL3	1809	
FLRT3	23767	
LRP8	7804	
VTA1	51534	
WWC3	55841	
ENTPD6	955	
SPAG8	26206	
LBX1	10660	
CDA	978	
C4orf19	55286	
NR2F1	7025	
PPL	5493	
BTG1	694	
COG7	91949	
VMP1	81671	
APOBEC3B	9582	
GLRX	2745	
SPON1	10418	
SMAD2	4087	
FLJ41455	-	
BCOR	54880	
BCL6	604	
UBALD1	124402	
WNK2	65268	
MC1R	4157	
MDK	4192	
CAMK2B	816	
ZMYM6	9204	
PPP4R4	57718	
ATAT1	79969	
ARAP3	64411	
RBMS1	5937	
APOL3	80833	
DRAM1	55332	
AXL	558	
CELA3A	10136	
AK4	205	
RASEF	158158	
IQCB1	9657	
AXDND1	126859	
LRIG1	26018	
C1R	715	
SLC27A2	11001	
PARVG	64098	
RBM38	55544	
UBR1	197131	
CFAP44	55779	
MRS2	57380	
SLC35F3	148641	
USF2	7392	
VIL1	7429	
SDCBP2	27111	
ZNF473	25888	
TPMT	7172	
PDLIM5	10611	
IKBIP	121457	
THBS1	7057	
CLIC4	25932	
ICAM2	3384	
GATS	352954	
GOLM1	51280	
PPP1R1B	84152	
TM6SF2	53345	
POC1B	282809	
SEPT10	-	
FREM1	158326	
PGAM1	5223	
NCF2	4688	
ACTR8	93973	
DDIT4L	115265	
TMPRSS4	56649	
ARL4A	10124	
FBXO32	114907	
AHI1	54806	
COMMD8	54951	
LGALS1	3956	
ABLIM1	3983	
ZP1	22917	
